时间,辐照度,风速,风向,温度,湿度,压强,实际辐照度,实际功率
2018-10-16 00:15:00,-1.0,-0.5269709534689486,0.563888039710074,-0.08098127202300531,0.6773615051495895,0.38608305296395007,0.0,0.0
2018-10-16 00:30:00,-1.0,-0.5062240658803225,0.5929621707962691,-0.08414666350613015,0.6791318441966537,0.38832772128096804,0.0,0.0
2018-10-16 00:45:00,-1.0,-0.48547717829169623,0.6224254384778071,-0.08731205498925501,0.6811550880462711,0.38945005543947697,0.0,0.0
2018-10-16 01:00:00,-1.0,-0.4688796682207952,0.6508880677706061,-0.09047744647237985,0.6834082462411684,0.3905723907175145,0.0,0.0
2018-10-16 01:15:00,-1.0,-0.4481327790471066,0.6768490980900573,-0.0936428390082612,0.68584533678096,0.3916947248760235,0.0,0.0
2018-10-16 01:30:00,-1.0,-0.435684646493931,0.6987519810537897,-0.09733579521219524,0.6884433659508576,0.39281705903453246,0.0,0.0
2018-10-16 01:45:00,-1.0,-0.4273858914584805,0.7151513468764569,-0.10102875246888579,0.6912023359225379,0.39281705903453246,0.0,0.0
2018-10-16 02:00:00,-1.0,-0.42323651394075523,0.7245462379749512,-0.10524927444638557,0.6940992529812124,0.39281705903453246,0.0,0.0
2018-10-16 02:15:00,-1.0,-0.42323651394075523,0.7293826615228566,-0.10999736219745113,0.6986515535430687,0.3916947248760235,0.0,0.0
2018-10-16 02:30:00,-1.0,-0.4273858914584805,0.7333296272800491,-0.11580058044289157,0.7060547880773759,0.38832772128096804,0.0,0.0
2018-10-16 02:45:00,-1.0,-0.4273858914584805,0.7365539096453194,-0.12213136446189776,0.7156881903493068,0.38159371521038565,0.0,0.0
2018-10-16 03:00:00,-1.0,-0.43153526897620587,0.7392222810164568,-0.12898971214895663,0.7269309908665192,0.3748597080202747,0.0,0.0
2018-10-16 03:15:00,-1.0,-0.435684646493931,0.7414459239924881,-0.13584806088877202,0.7391624223083478,0.36700336667165473,0.0,0.0
2018-10-16 03:30:00,-1.0,-0.4398340240116563,0.7435027935702293,-0.14270640962858744,0.7517617162682885,0.35802469116452584,0.0,0.0
2018-10-16 03:45:00,-1.0,-0.44398340152938154,0.7455596631479706,-0.14903719364759366,0.7641081054256762,0.34904601565739696,0.0,0.0
2018-10-16 04:00:00,-1.0,-0.45228215814989414,0.7477833061240019,-0.1548404118930341,0.7756038118312802,0.341189674308777,0.0,0.0
2018-10-16 04:15:00,-1.0,-0.4564315356676194,0.7502849040968493,-0.15958849964409963,0.7856280670785968,0.334455667118666,0.0,0.0
2018-10-16 04:30:00,-1.0,-0.46058091318534466,0.7533424130638298,-0.16380902162159938,0.793537113389687,0.3288439952065925,0.0,0.0
2018-10-16 04:45:00,-1.0,-0.46473029070307015,0.7571226064232329,-0.16591928261034927,0.7987561643584326,0.3243546574530281,0.0,0.0
2018-10-16 05:00:00,-1.0,-0.47302904573852045,0.7617366657735852,-0.16697441310472422,0.8006184684921056,0.3232323232945192,0.0,0.0
2018-10-16 05:15:00,-1.0,-0.4771784232562457,0.7695194156894443,-0.16591928261034927,0.8004805203192732,0.3243546574530281,0.0,0.0
2018-10-16 05:30:00,-1.0,-0.48132780077397097,0.782027406554182,-0.16380902162159938,0.8000436831718254,0.3265993268895747,0.0,0.0
2018-10-16 05:45:00,-1.0,-0.4896265558094215,0.7982044091797964,-0.15958849964409963,0.799307958135601,0.33108866464313913,0.0,0.0
2018-10-16 06:00:00,-1.0,-0.49377593332714675,0.8169941913767849,-0.15378528139865918,0.7983193272109849,0.3367003365552126,0.0,0.0
2018-10-16 06:15:00,-1.0,-0.5020746883625973,0.8373961147564083,-0.14692693265884377,0.7970547999407037,0.34231200846728593,0.0,0.0
2018-10-16 06:30:00,-1.0,-0.5062240658803225,0.8584095399294278,-0.1390134534246534,0.7955143752389193,0.3501683498159059,0.0,0.0
2018-10-16 06:45:00,-1.0,-0.5145228209157728,0.8789782367073412,-0.1300448436960881,0.793721044648743,0.35802469116452584,0.0,0.0
2018-10-16 07:00:00,-1.0,-0.5228215759512234,0.8981015657009094,-0.12054866819395707,0.7916518177129022,0.36588103251314574,0.0,0.0
2018-10-16 07:15:00,-1.0,-0.5269709534689486,0.9147788865203929,-0.10999736219745113,0.7893526764317814,0.3748597080202747,0.0,0.0
2018-10-16 07:30:00,-1.0,-0.5311203309866739,0.9279539709782904,-0.09839092570657021,0.7867776377191572,0.3838383835274035,1.692,0.0
2018-10-16 07:45:00,-0.9539638531182064,-0.5352697085043991,0.9365705868850983,-0.08678449026844581,0.7839956772902034,0.39281705903453246,29.057,0.046
2018-10-16 08:00:00,-0.879059841096751,-0.5394190876071867,0.9396836876518424,-0.07465048800399912,0.7809378194297464,0.40067340038315236,226.365,0.521
2018-10-16 08:15:00,-0.7793656691384837,-0.543568465124912,0.9341801715112776,-0.05882352953561844,0.7699019417147018,0.4096520758902813,350.566,1.851
2018-10-16 08:30:00,-0.6640657009680075,-0.547717842642637,0.9189482174756392,-0.035610656553856576,0.7447493357952055,0.4208754208339568,454.06699999999995,3.998
2018-10-16 08:45:00,-0.5422299710410162,-0.547717842642637,0.8959335135241415,-0.006594566379410825,0.70805504146972,0.43434343409465015,528.991,5.819
2018-10-16 09:00:00,-0.4230237900558614,-0.5518672201603625,0.8670261558362361,0.026642046825291258,0.662325120649857,0.4478114473553434,593.535,7.568
